suite,config_or_algorithm,metric,mean,std,ci95_lo,ci95_hi,n,key
ablation,Full System (15 algorithms),retention,1.0000,0.0000,1.0000,1.0000,10,dQ=+0.0%
ablation,Full System (15 algorithms),precision5,0.9227,0.0078,0.9183,0.9273,10,p=None
ablation,Full System (15 algorithms),ndcg5,0.9195,0.0065,0.9158,0.9237,10,p=None
ablation,−Two-Factor Hebbian,retention,1.0000,0.0000,1.0000,1.0000,10,dQ=+0.0%
ablation,−Two-Factor Hebbian,precision5,0.9227,0.0078,0.9187,0.9272,10,p=1
ablation,−Two-Factor Hebbian,ndcg5,0.9195,0.0065,0.9158,0.9234,10,p=1
ablation,−Simulation-Selection Sleep,retention,0.7068,0.0085,0.7017,0.7119,10,dQ=-34.4%
ablation,−Simulation-Selection Sleep,precision5,0.8565,0.0195,0.8457,0.8683,10,p=0.005062153494364896
ablation,−Simulation-Selection Sleep,ndcg5,0.7980,0.0245,0.7834,0.8123,10,p=0.005062153494364896
ablation,−vmPFC-FSRS Coupling,retention,1.0000,0.0000,1.0000,1.0000,10,dQ=+0.0%
ablation,−vmPFC-FSRS Coupling,precision5,0.9227,0.0078,0.9183,0.9270,10,p=1
ablation,−vmPFC-FSRS Coupling,ndcg5,0.9195,0.0065,0.9158,0.9233,10,p=1
ablation,−iMAD Debate,retention,1.0000,0.0000,1.0000,1.0000,10,dQ=+0.0%
ablation,−iMAD Debate,precision5,0.9227,0.0078,0.9180,0.9275,10,p=1
ablation,−iMAD Debate,ndcg5,0.9195,0.0065,0.9160,0.9232,10,p=1
ablation,−Spectral KG Health,retention,1.0000,0.0000,1.0000,1.0000,10,dQ=+0.0%
ablation,−Spectral KG Health,precision5,0.9227,0.0078,0.9182,0.9272,10,p=1
ablation,−Spectral KG Health,ndcg5,0.9195,0.0065,0.9160,0.9236,10,p=1
ablation,−Compositional Context,retention,1.0000,0.0000,1.0000,1.0000,10,dQ=+0.0%
ablation,−Compositional Context,precision5,0.9227,0.0078,0.9183,0.9273,10,p=1
ablation,−Compositional Context,ndcg5,0.9195,0.0065,0.9160,0.9235,10,p=1
ablation,−IB Budget,retention,1.0000,0.0000,1.0000,1.0000,10,dQ=+0.0%
ablation,−IB Budget,precision5,0.9227,0.0078,0.9183,0.9275,10,p=1
ablation,−IB Budget,ndcg5,0.9195,0.0065,0.9162,0.9236,10,p=1
ablation,−Dual-Process CoT,retention,1.0000,0.0000,1.0000,1.0000,10,dQ=+0.0%
ablation,−Dual-Process CoT,precision5,0.9227,0.0078,0.9182,0.9277,10,p=1
ablation,−Dual-Process CoT,ndcg5,0.9195,0.0065,0.9159,0.9233,10,p=1
ablation,−Metacognitive HyperAgent,retention,1.0000,0.0000,1.0000,1.0000,10,dQ=+0.0%
ablation,−Metacognitive HyperAgent,precision5,0.9227,0.0078,0.9183,0.9275,10,p=1
ablation,−Metacognitive HyperAgent,ndcg5,0.9195,0.0065,0.9161,0.9236,10,p=1
ablation,−NeuromodulatorEngine,retention,1.0000,0.0000,1.0000,1.0000,10,dQ=-0.1%
ablation,−NeuromodulatorEngine,precision5,0.9220,0.0094,0.9168,0.9278,10,p=0.05
